query_id	passage_id	final_label
rob_q_FBIS4-33353	rob_FBIS3-51075	0
rob_q_FBIS3-51409	rob_FBIS3-51409	3
rob_q_FBIS3-51467	rob_FBIS3-51756	2
rob_q_FBIS4-58446	rob_FBIS3-52164	3
rob_q_FBIS3-53509	rob_FBIS3-53303	0
rob_q_FBIS3-53304	rob_FBIS3-53801	3
rob_q_FBIS4-27868	rob_FBIS3-5460	1
rob_q_FBIS4-4885	rob_FBIS3-5460	1
rob_q_FBIS4-5980	rob_FBIS3-5460	1
rob_q_FT931-7349	rob_FBIS3-5460	1
rob_q_FBIS3-54807	rob_FBIS3-54781	1
rob_q_FBIS3-15903	rob_FBIS3-55074	3
rob_q_FBIS3-37665	rob_FBIS3-55339	2
rob_q_FBIS3-15091	rob_FBIS3-55650	1
rob_q_FR940222-2-00001	rob_FBIS3-55650	0
rob_q_FBIS3-56714	rob_FBIS3-56025	3
rob_q_FBIS3-55133	rob_FBIS3-56200	3
rob_q_FBIS4-15110	rob_FBIS3-57034	2
rob_q_FBIS4-22622	rob_FBIS3-57240	3
rob_q_FBIS3-57764	rob_FBIS3-57767	1
rob_q_FBIS3-48518	rob_FBIS3-5826	2
rob_q_FT932-7396	rob_FBIS3-58320	1
rob_q_FBIS4-43006	rob_FBIS3-58346	3
rob_q_FBIS3-45974	rob_FBIS3-59039	3
rob_q_FT943-10629	rob_FBIS3-59279	1
rob_q_FBIS3-59653	rob_FBIS3-59645	1
rob_q_FT943-8540	rob_FBIS3-59647	2
rob_q_FT932-2842	rob_FBIS3-59758	2
rob_q_FT924-62	rob_FBIS3-59783	0
rob_q_FT941-11760	rob_FBIS3-59921	2
rob_q_FBIS3-59960	rob_FBIS3-59960	3
rob_q_FT941-16153	rob_FBIS3-60085	0
rob_q_FBIS3-17891	rob_FBIS3-61279	1
rob_q_FBIS4-22659	rob_FBIS3-61374	1
rob_q_FBIS3-6343	rob_FBIS3-6456	0
rob_q_FBIS4-46969	rob_FBIS3-61374	1
rob_q_FBIS3-61570	rob_FBIS3-61570	3
rob_q_FT942-8058	rob_FBIS3-663	0
rob_q_FBIS3-29288	rob_FBIS3-7105	0
rob_q_FBIS3-7071	rob_FBIS3-7494	3
rob_q_FBIS3-31142	rob_FBIS3-8042	0
rob_q_FBIS4-31697	rob_FBIS3-9628	1
rob_q_FBIS4-1004	rob_FBIS4-1004	3
rob_q_FBIS4-34911	rob_FBIS4-10054	0
rob_q_FBIS4-33284	rob_FBIS4-10833	0
rob_q_FBIS3-33524	rob_FBIS4-10853	3
rob_q_FBIS4-33509	rob_FBIS4-10869	0
rob_q_FBIS4-32822	rob_FBIS4-11123	2
rob_q_FBIS4-10790	rob_FBIS4-11123	2
rob_q_FBIS4-10888	rob_FBIS4-11123	2
rob_q_FBIS4-57102	rob_FBIS4-11123	0
rob_q_FBIS3-10683	rob_FBIS4-11298	2
rob_q_FBIS3-10225	rob_FBIS4-11503	2
rob_q_FBIS3-13191	rob_FBIS4-12819	0
rob_q_FT943-5925	rob_FBIS4-12953	2
rob_q_FBIS3-35545	rob_FBIS4-13508	1
rob_q_FBIS3-15344	rob_FBIS4-15428	2
rob_q_FBIS3-54105	rob_FBIS4-14162	0
rob_q_FT942-3184	rob_FBIS4-14281	3
rob_q_FBIS4-66225	rob_FBIS4-1583	2
rob_q_FT933-1722	rob_FBIS4-17774	3
rob_q_FT944-8081	rob_FBIS4-19625	3
rob_q_FT931-6835	rob_FBIS4-19697	0
rob_q_LA062789-0139	rob_FBIS4-20535	0
rob_q_FR940414-2-00164	rob_FBIS4-20620	0
rob_q_FBIS4-67987	rob_FBIS4-20621	0
rob_q_FBIS4-68551	rob_FBIS4-20621	0
rob_q_FT931-10345	rob_FBIS4-20686	3
rob_q_FBIS4-45355	rob_FBIS4-21022	1
rob_q_LA091189-0118	rob_FBIS4-21370	1
rob_q_FBIS4-41804	rob_FBIS4-22226	2
rob_q_LA011590-0101	rob_FBIS4-22416	0
rob_q_LA062389-0112	rob_FBIS4-22416	0
rob_q_FT943-8549	rob_FBIS4-22433	1
rob_q_FBIS4-22717	rob_FBIS4-22574	1
rob_q_FBIS4-22865	rob_FBIS4-22865	3
rob_q_LA110589-0236	rob_FBIS4-23826	0
rob_q_FT942-4858	rob_FBIS4-24200	2
rob_q_FBIS3-32614	rob_FBIS4-24637	0
rob_q_FBIS3-47815	rob_FBIS4-2464	1
rob_q_FBIS4-2099	rob_FBIS4-2557	3
rob_q_FBIS4-25800	rob_FBIS4-25800	0
rob_q_LA110189-0091	rob_FBIS4-26210	1
rob_q_FBIS4-3258	rob_FBIS4-26998	3
rob_q_FT943-2608	rob_FBIS4-26998	1
rob_q_FBIS4-27003	rob_FBIS4-27003	3
rob_q_FT933-9072	rob_FBIS4-27070	0
rob_q_FT943-14566	rob_FBIS4-27573	1
rob_q_FBIS3-19787	rob_FBIS4-28835	1
rob_q_FT942-14921	rob_FBIS4-29449	1
rob_q_FBIS4-5275	rob_FBIS4-29682	3
rob_q_FBIS4-67853	rob_FBIS4-30162	0
rob_q_FBIS4-30503	rob_FBIS4-30503	3
rob_q_FT944-4841	rob_FBIS4-3056	0
rob_q_FBIS4-28794	rob_FBIS4-30704	1
rob_q_FBIS4-13847	rob_FBIS4-31	2
rob_q_FBIS4-9261	rob_FBIS4-31312	3
rob_q_FBIS4-31144	rob_FBIS4-32475	3
rob_q_FBIS3-30622	rob_FBIS4-32589	3
rob_q_FBIS4-56144	rob_FBIS4-32713	2
rob_q_FBIS4-3376	rob_FBIS4-3376	1
rob_q_LA012189-0053	rob_FBIS4-34176	0
rob_q_FBIS4-34537	rob_FBIS4-34609	1
rob_q_FBIS3-19729	rob_FBIS4-35783	3
rob_q_FBIS3-54052	rob_FBIS4-36095	2
rob_q_FBIS3-35240	rob_FBIS4-37296	1
rob_q_LA052390-0060	rob_FBIS4-36413	2
rob_q_FBIS4-38143	rob_FBIS4-36959	3
rob_q_FBIS3-52732	rob_FBIS4-37434	0
rob_q_FT924-8709	rob_FBIS4-3749	1
rob_q_FBIS4-41097	rob_FBIS4-41097	3
rob_q_LA071489-0005	rob_FBIS4-3821	0
rob_q_FBIS4-47829	rob_FBIS4-4034	3
rob_q_FBIS3-54667	rob_FBIS4-41562	1
rob_q_FBIS4-22126	rob_FBIS4-43604	1
rob_q_FBIS4-43763	rob_FBIS4-43763	3
rob_q_FBIS4-23612	rob_FBIS4-43814	2
rob_q_FBIS4-43286	rob_FBIS4-43862	1
rob_q_FBIS4-44525	rob_FBIS4-44390	1
rob_q_FBIS4-44498	rob_FBIS4-44497	0
rob_q_FBIS4-44869	rob_FBIS4-44869	3
rob_q_LA080489-0158	rob_FBIS4-44927	0
rob_q_FT943-11198	rob_FBIS4-46486	0
rob_q_FBIS3-157	rob_FBIS4-47892	2
rob_q_FBIS4-38754	rob_FBIS4-46621	0
rob_q_FBIS4-14848	rob_FBIS4-47060	2
rob_q_FBIS3-25445	rob_FBIS4-48162	3
rob_q_FT932-16014	rob_FBIS4-49346	0
rob_q_LA080889-0132	rob_FBIS4-49468	3
rob_q_FBIS4-49811	rob_FBIS4-49811	2
rob_q_FBIS3-2302	rob_FBIS4-49998	2
rob_q_FT943-15283	rob_FBIS4-5018	0
rob_q_FBIS4-8418	rob_FBIS4-50247	3
rob_q_FBIS3-55408	rob_FBIS4-51148	2
rob_q_FBIS4-51240	rob_FBIS4-51153	3
rob_q_FBIS4-26664	rob_FBIS4-51350	2
rob_q_FBIS3-6769	rob_FBIS4-51772	1
rob_q_FT934-6919	rob_FBIS4-51773	2
rob_q_FT932-1476	rob_FBIS4-52929	0
rob_q_FT924-9640	rob_FBIS4-53028	0
rob_q_FT932-10844	rob_FBIS4-53522	1
rob_q_LA112390-0101	rob_FBIS4-54016	1
rob_q_FT942-14312	rob_FBIS4-54264	2
rob_q_FBIS4-55448	rob_FBIS4-55448	3
rob_q_FT941-520	rob_FBIS4-56162	3
rob_q_FT944-95	rob_FBIS4-56184	0
rob_q_FBIS3-10537	rob_FBIS4-56383	2
rob_q_LA062889-0029	rob_FBIS4-57576	1
rob_q_LA112490-0101	rob_FBIS4-58092	3
rob_q_FT943-15923	rob_FBIS4-58796	3
rob_q_FBIS4-3052	rob_FBIS4-58918	3
rob_q_FBIS4-58934	rob_FBIS4-60716	2
rob_q_FBIS3-43411	rob_FBIS4-6013	0
rob_q_FBIS4-36790	rob_FBIS4-60447	3
rob_q_FBIS3-46225	rob_FBIS4-62560	1
rob_q_FBIS4-64044	rob_FBIS4-62703	3
rob_q_FBIS4-16689	rob_FBIS4-62946	2
rob_q_FT921-10080	rob_FBIS4-63549	3
rob_q_FBIS4-31122	rob_FBIS4-66129	3
rob_q_FBIS4-38682	rob_FBIS4-63599	2
rob_q_FBIS4-19340	rob_FBIS4-64781	2
rob_q_FBIS4-22344	rob_FBIS4-66206	1
rob_q_FBIS4-45003	rob_FBIS4-66718	2
rob_q_FBIS4-68206	rob_FBIS4-67559	2
rob_q_FT933-3070	rob_FBIS4-67877	2
rob_q_FBIS4-51722	rob_FBIS4-6802	3
rob_q_FBIS3-52749	rob_FBIS4-6808	2
rob_q_FBIS4-18064	rob_FBIS4-68582	0
rob_q_FBIS4-38612	rob_FBIS4-68282	3
rob_q_FBIS3-15220	rob_FBIS4-68468	3
rob_q_FBIS4-40952	rob_FBIS4-68582	2
rob_q_FBIS3-54873	rob_FBIS4-68639	0
rob_q_FBIS3-14758	rob_FBIS4-68648	1
rob_q_FT931-12926	rob_FBIS4-68863	1
rob_q_FBIS3-30380	rob_FBIS4-8282	2
rob_q_FT942-10713	rob_FBIS4-8554	3
rob_q_FBIS4-16903	rob_FBIS4-8993	2
rob_q_FBIS3-40308	rob_FBIS4-9633	1
rob_q_FBIS3-31121	rob_FBIS4-9650	3
rob_q_FR941219-2-00138	rob_FR940105-2-00095	3
rob_q_FR940223-2-00174	rob_FR940110-0-00047	1
rob_q_FR940602-2-00036	rob_FR940110-0-00022	2
rob_q_FR941004-2-00133	rob_FR940110-0-00044	0
rob_q_FBIS4-42833	rob_FR940114-0-00007	3
rob_q_FT923-14423	rob_FR940114-2-00030	0
rob_q_FR940906-2-00031	rob_FR940119-2-00039	0
rob_q_FT921-7535	rob_FR940126-0-00002	1
rob_q_FR940725-2-00088	rob_FR940128-0-00032	2
rob_q_FR940512-2-00204	rob_FR940128-2-00125	2
rob_q_FR940707-2-00091	rob_FR940128-2-00148	3
rob_q_FR940128-2-00237	rob_FR940128-2-00237	3
rob_q_FT923-2512	rob_FR940202-0-00008	2
rob_q_FR940202-0-00038	rob_FR940202-0-00061	3
rob_q_FT942-15581	rob_FR940207-2-00005	0
rob_q_LA080990-0053	rob_FR940207-2-00005	0
rob_q_FT944-14464	rob_FR940207-2-00185	3
rob_q_FR940214-0-00032	rob_FR940214-0-00038	3
rob_q_FR940214-2-00116	rob_FR940214-2-00116	2
rob_q_LA110190-0245	rob_FR940214-2-00242	0
rob_q_FR940216-0-00082	rob_FR940216-0-00067	3
rob_q_FR941007-1-00075	rob_FR940216-0-00171	3
rob_q_FR940224-2-00004	rob_FR940224-2-00004	2
rob_q_FR940303-1-00055	rob_FR940303-1-00055	3
rob_q_FR941202-2-00053	rob_FR940304-0-00113	2
rob_q_FR940304-1-00083	rob_FR940304-1-00101	0
rob_q_FR940304-2-00071	rob_FR940304-2-00084	0
rob_q_FT924-9377	rob_FR940314-2-00132	0
rob_q_FR940720-0-00048	rob_FR940317-1-00012	2
rob_q_FR940323-2-00075	rob_FR940323-2-00075	1
rob_q_FR941207-0-00081	rob_FR940324-1-00012	0
rob_q_FR941004-2-00078	rob_FR940324-1-00035	3
rob_q_FR940907-2-00118	rob_FR940324-2-00137	1
rob_q_FR940325-2-00050	rob_FR940325-2-00050	3
rob_q_FR940328-0-00062	rob_FR940328-0-00057	2
rob_q_FR940523-0-00059	rob_FR940404-0-00053	1
rob_q_FT933-8801	rob_FR940404-2-00073	3
rob_q_FT934-17057	rob_FR940404-2-00087	3
rob_q_FT933-12441	rob_FR940407-0-00035	1
rob_q_FR940106-1-00011	rob_FR940407-2-00032	2
rob_q_FR940930-0-00228	rob_FR940412-0-00030	3
rob_q_FR940111-0-00029	rob_FR940412-1-00007	2
rob_q_FT943-10065	rob_FR940414-0-00080	2
rob_q_LA030389-0050	rob_FR940428-0-00051	3
rob_q_FR940407-0-00093	rob_FR940505-1-00137	2
rob_q_FT942-16110	rob_FR940513-0-00005	0
rob_q_FT934-4214	rob_FR940513-0-00010	2
rob_q_FR940513-0-00153	rob_FR940513-0-00128	3
rob_q_FR941206-0-00067	rob_FR940516-1-00075	3
rob_q_FR940526-2-00047	rob_FR940526-2-00045	1
rob_q_FR940603-0-00080	rob_FR940527-0-00045	3
rob_q_FR940617-2-00148	rob_FR940527-1-00050	3
rob_q_FR940527-2-00183	rob_FR940527-2-00183	3
rob_q_FT911-515	rob_FR940603-2-00133	0
rob_q_FR940106-0-00005	rob_FR940617-0-00021	1
rob_q_FR940603-1-00143	rob_FR940620-1-00077	2
rob_q_FR940620-2-00062	rob_FR940620-2-00061	0
rob_q_FT932-2751	rob_FR940627-2-00108	1
rob_q_FR940628-1-00070	rob_FR940628-1-00069	3
rob_q_FR940318-2-00156	rob_FR940705-2-00090	1
rob_q_FR940826-0-00043	rob_FR940706-0-00081	3
rob_q_FR940720-0-00122	rob_FR940713-0-00034	1
rob_q_FBIS3-16034	rob_FR940725-2-00049	1
rob_q_FR940720-2-00104	rob_FR940720-2-00104	3
rob_q_FR941019-2-00178	rob_FR940725-0-00091	0
rob_q_FBIS3-16320	rob_FR940725-2-00049	0
rob_q_FT934-3325	rob_FR940727-0-00048	0
rob_q_LA092390-0132	rob_FR940804-1-00039	0
rob_q_FR940810-0-00154	rob_FR940810-0-00154	1
rob_q_FR940805-0-00004	rob_FR940816-1-00043	2
rob_q_LA122789-0015	rob_FR940817-0-00074	2
rob_q_FR940419-0-00115	rob_FR940825-1-00048	3
rob_q_FT944-3371	rob_FR940825-1-00149	2
rob_q_FR940812-2-00234	rob_FR940831-0-00006	0
rob_q_FR940505-0-00001	rob_FR940906-0-00076	0
rob_q_LA090190-0116	rob_FR940912-2-00084	3
rob_q_FR940516-0-00024	rob_FR940913-0-00035	1
rob_q_FR940831-2-00037	rob_FR940919-0-00053	3
rob_q_FT934-1671	rob_FR940919-2-00039	0
rob_q_FR940920-0-00012	rob_FR940920-0-00012	3
rob_q_FR941205-1-00065	rob_FR940921-2-00059	2
rob_q_FR940922-1-00020	rob_FR940922-1-00020	3
rob_q_FR940127-1-00067	rob_FR940922-1-00076	1
rob_q_FT921-8801	rob_FR940928-2-00145	2
rob_q_FR940627-0-00134	rob_FR941003-0-00086	1
rob_q_FR940317-1-00011	rob_FR941003-0-00101	2
rob_q_FT933-4835	rob_FR941005-0-00006	0
rob_q_LA021889-0039	rob_FR941005-2-00094	1
rob_q_FT921-4255	rob_FR941012-1-00010	0
rob_q_FT922-13227	rob_FR941012-1-00010	0
rob_q_FT924-6367	rob_FR941012-1-00010	0
rob_q_FT922-9373	rob_FR941012-1-00010	0
rob_q_FT923-13658	rob_FR941012-1-00010	0
rob_q_FT932-15573	rob_FR941012-1-00010	0
rob_q_FT933-8916	rob_FR941012-1-00010	0
rob_q_FT941-17155	rob_FR941012-1-00010	0
rob_q_FT941-1809	rob_FR941012-1-00010	0
rob_q_FT941-4113	rob_FR941012-1-00010	0
rob_q_FT941-815	rob_FR941012-1-00010	0
rob_q_FT942-3581	rob_FR941012-1-00010	0
rob_q_FT943-10760	rob_FR941012-1-00010	0
rob_q_FT944-13842	rob_FR941012-1-00010	0
rob_q_FT944-168	rob_FR941012-1-00010	0
rob_q_FT944-3636	rob_FR941012-1-00010	0
rob_q_FR941013-2-00063	rob_FR941013-2-00067	2
rob_q_LA021089-0131	rob_FR941017-0-00035	0
rob_q_FR941019-0-00038	rob_FR941019-0-00031	2
rob_q_FR940414-0-00055	rob_FR941025-0-00054	3
rob_q_FR941102-1-00058	rob_FR941102-1-00058	3
rob_q_FR941102-1-00124	rob_FR941102-1-00124	2
rob_q_FR940110-1-00043	rob_FR941104-2-00089	2
rob_q_FR941117-1-00031	rob_FR941117-1-00016	1
rob_q_FR941117-1-00020	rob_FR941117-1-00033	3
rob_q_FT944-220	rob_FR941130-0-00015	1
rob_q_FR940202-2-00045	rob_FR941205-0-00080	1
rob_q_FR940419-2-00041	rob_FR941213-0-00017	3
rob_q_FR940607-0-00047	rob_FR941221-1-00036	3
rob_q_FR941227-0-00079	rob_FR941227-0-00082	3
rob_q_FR940830-1-00047	rob_FR941227-2-00047	2
rob_q_FR941128-1-00040	rob_FR941227-2-00047	2
rob_q_FR940413-2-00051	rob_FR941227-2-00053	3
rob_q_FT943-4152	rob_FR941230-2-00058	0
rob_q_FR940527-2-00135	rob_FT911-161	2
rob_q_FT933-15065	rob_FT911-1827	3
rob_q_FT943-580	rob_FT911-1827	3
rob_q_FT942-606	rob_FT911-2632	0
rob_q_FT922-13207	rob_FT911-2776	3
rob_q_FT941-12634	rob_FT911-2992	3
rob_q_FT911-367	rob_FT911-367	3
rob_q_FT911-74	rob_FT911-74	3
rob_q_FT921-11019	rob_FT921-11019	3
rob_q_FT942-10132	rob_FT921-11158	1
rob_q_FT941-11371	rob_FT921-11547	2
rob_q_FBIS4-40203	rob_FT921-11607	1
rob_q_FT921-12224	rob_FT921-12224	3
rob_q_FBIS4-35958	rob_FT921-12246	3
rob_q_FT944-12264	rob_FT921-12884	3
rob_q_FT922-12215	rob_FT921-14292	3
rob_q_FT942-13354	rob_FT921-14371	3
rob_q_FT934-5826	rob_FT921-16298	2
rob_q_LA032290-0132	rob_FT921-2635	2
rob_q_FT941-11231	rob_FT921-3995	2
rob_q_FT924-6530	rob_FT921-5347	3
rob_q_FT924-9210	rob_FT921-6674	3
rob_q_FT921-8691	rob_FT921-6781	2
rob_q_FBIS3-35337	rob_FT921-7013	3
rob_q_FT921-6937	rob_FT921-7217	3
rob_q_FT911-5200	rob_FT921-7258	3
rob_q_FT921-8046	rob_FT921-7520	3
rob_q_FT921-15843	rob_FT921-7632	3
rob_q_FT924-7407	rob_FT921-8369	3
rob_q_FT942-8877	rob_FT921-8489	3
rob_q_FT921-8549	rob_FT921-8549	3
rob_q_FT921-4071	rob_FT921-8883	1
rob_q_FT923-3284	rob_FT921-8883	2
rob_q_FT931-11876	rob_FT921-9151	3
rob_q_FT922-11517	rob_FT922-11637	2
rob_q_FT921-9205	rob_FT921-9205	2
rob_q_FT922-738	rob_FT922-10448	3
rob_q_FT922-13136	rob_FT922-13136	3
rob_q_FT941-4158	rob_FT922-13219	3
rob_q_FBIS3-7932	rob_FT922-13733	2
rob_q_FT911-4221	rob_FT922-13948	1
rob_q_FT932-13148	rob_FT922-13948	3
rob_q_FT933-6356	rob_FT922-13948	2
rob_q_FT941-9052	rob_FT922-13948	3
rob_q_FT922-6300	rob_FT922-13955	2
rob_q_FT923-13201	rob_FT922-13955	2
rob_q_FT924-15005	rob_FT922-13955	2
rob_q_FT941-16133	rob_FT922-13955	2
rob_q_FT941-16498	rob_FT922-13955	2
rob_q_FT941-9578	rob_FT922-13955	2
rob_q_FT942-2861	rob_FT922-13955	2
rob_q_FT931-8320	rob_FT922-14024	3
rob_q_FT922-6384	rob_FT922-14532	3
rob_q_FT941-12332	rob_FT922-430	1
rob_q_FT922-2032	rob_FT922-4640	0
rob_q_FT942-10422	rob_FT922-638	3
rob_q_FT922-674	rob_FT922-674	3
rob_q_FBIS3-58274	rob_FT922-6916	2
rob_q_FT943-10390	rob_FT922-7402	3
rob_q_FT944-4965	rob_FT922-7402	3
rob_q_FT932-10577	rob_FT922-8566	0
rob_q_FT942-10178	rob_FT922-8809	0
rob_q_FT941-16495	rob_FT922-8991	3
rob_q_FT942-4784	rob_FT923-10962	0
rob_q_FT922-7081	rob_FT922-9214	2
rob_q_FT923-13234	rob_FT923-10356	3
rob_q_FT944-18008	rob_FT923-12680	3
rob_q_FT941-16891	rob_FT923-13953	2
rob_q_FT911-3736	rob_FT923-14320	0
rob_q_FT921-10728	rob_FT923-14320	0
rob_q_FT921-15555	rob_FT923-14320	1
rob_q_FT921-16641	rob_FT923-14320	0
rob_q_FT922-1143	rob_FT923-14320	2
rob_q_FT931-497	rob_FT923-14320	2
rob_q_FT931-7284	rob_FT923-14320	0
rob_q_FT932-15566	rob_FT923-14320	0
rob_q_FT933-1409	rob_FT923-14320	1
rob_q_FT934-16471	rob_FT923-14320	1
rob_q_FT934-5519	rob_FT923-14320	0
rob_q_FT944-17199	rob_FT923-14320	0
rob_q_FT923-8515	rob_FT923-14756	3
rob_q_FT931-81	rob_FT923-1947	3
rob_q_FT922-11389	rob_FT923-1963	3
rob_q_FT942-5861	rob_FT923-260	2
rob_q_FT931-2938	rob_FT923-2796	1
rob_q_FT924-15938	rob_FT923-3200	3
rob_q_FT923-3208	rob_FT923-3208	3
rob_q_FT944-5865	rob_FT923-3419	1
rob_q_FT944-4514	rob_FT923-4122	3
rob_q_FT923-449	rob_FT923-449	2
rob_q_FT942-15632	rob_FT923-5021	3
rob_q_FT924-5163	rob_FT923-5934	1
rob_q_FT944-16671	rob_FT923-601	2
rob_q_FT923-714	rob_FT923-714	3
rob_q_FT931-14712	rob_FT923-8344	1
rob_q_LA122889-0042	rob_FT923-8541	0
rob_q_LA090589-0096	rob_FT923-9520	3
rob_q_FT924-7041	rob_FT923-9613	3
rob_q_FT924-10954	rob_FT924-10954	3
rob_q_FT922-11430	rob_FT924-1099	3
rob_q_LA112689-0043	rob_FT924-1104	3
rob_q_FT924-12392	rob_FT924-12392	3
rob_q_FT944-15774	rob_FT924-12942	0
rob_q_FT931-15109	rob_FT924-131	3
rob_q_FT924-14900	rob_FT924-13611	3
rob_q_FT943-13786	rob_FT924-13879	0
rob_q_FT924-10454	rob_FT924-13895	2
rob_q_FBIS3-38995	rob_FT924-14666	3
rob_q_FT932-13423	rob_FT924-15328	1
rob_q_FT924-15352	rob_FT924-15352	3
rob_q_FT923-7174	rob_FT924-15438	2
rob_q_FT934-9206	rob_FT924-15950	3
rob_q_FT924-5677	rob_FT924-1632	3
rob_q_FT931-4659	rob_FT924-2235	2
rob_q_LA121490-0046	rob_FT924-359	0
rob_q_FT933-11533	rob_FT924-4715	2
rob_q_FT944-617	rob_FT924-5010	2
